Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,48,20,T:System.Net.Http.HttpContent,,,,,string json = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,23,12,T:System.Uri,,,,,"bitstampClient.BaseAddress = new Uri(""https://www.bitstamp.net/api/v2/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,23,12,M:System.Uri.#ctor(System.String),,,,,"bitstampClient.BaseAddress = new Uri(""https://www.bitstamp.net/api/v2/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,23,12,T:System.Uri,,,,,"bitstampClient.BaseAddress = new Uri(""https://www.bitstamp.net/api/v2/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,23,12,T:System.Uri,,,,,"bitstampClient.BaseAddress = new Uri(""https://www.bitstamp.net/api/v2/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,23,12,M:System.Uri.#ctor(System.String),,,,,"bitstampClient.BaseAddress = new Uri(""https://www.bitstamp.net/api/v2/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\BitStamp.Net.csproj,File,VisualHFT.Plugins\MarketConnectors.BaseDAL\BitStamp.Net\Clients\BitStampHttpClient.cs,23,12,T:System.Uri,,,,,"bitstampClient.BaseAddress = new Uri(""https://www.bitstamp.net/api/v2/"");"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Collections 4.3.0,,,,,"System.Collections, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Collections.Concurrent 4.3.0,,,,,"System.Collections.Concurrent, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Runtime 4.3.1,,,,,"System.Runtime, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Security.Cryptography.Algorithms 4.3.1,,,,,"System.Security.Cryptography.Algorithms, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Security.Cryptography.Encoding 4.3.0,,,,,"System.Security.Cryptography.Encoding, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Security.Cryptography.Primitives 4.3.0,,,,,"System.Security.Cryptography.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Security.Cryptography.X509Certificates 4.3.2,,,,,"System.Security.Cryptography.X509Certificates, 4.3.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Security.Principal.Windows 5.0.0,,,,,"System.Security.Principal.Windows, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,demoTradingCore\demoTradingCore.csproj,File,demoTradingCore\demoTradingCore.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Recommendation:  Package functionality included with new framework reference"
